id,school_type,school_level,charter,year,state,zip_code,percent_college,rate_unemployment,percent_married,median_income,average_act,percent_lunch,fte_teachers
120051000794.0,Regular School,High,No,2016-2017,FL,32506,0.555717407137655,0.0818014705882353,0.339556592765461,28712.0,18.6630036630037,0.506590257879656,93.0
120051000805.0,Regular School,High,No,2016-2017,FL,32501,0.83420365535248,0.0859375,0.726643598615917,48417.0,25.7448107448107,0.551677852348993,80.0
120051000812.0,Regular School,High,No,2016-2017,FL,32533,0.726909090909091,0.111836734693878,0.614107883817427,54590.0,22.6678876678877,0.308425275827482,109.0
120051000837.0,Regular School,High,No,2016-2017,FL,32526,0.719308700834327,0.105581708137189,0.721966205837174,66625.0,19.2246642246642,0.599415204678363,97.0
120051002169.0,Regular School,High,No,2016-2017,FL,32504,0.600817438692098,0.0920608108108108,0.331288343558282,35275.0,22.5213675213675,0.438095238095238,93.0
120051003703.0,Regular School,High,No,2016-2017,FL,32526,0.719308700834327,0.105581708137189,0.721966205837174,66625.0,20.8852258852259,0.30667701863354,66.0
120054000842.0,Regular School,High,No,2016-2017,FL,32164,0.525787006028131,0.139838129496403,0.574052812858783,38319.0,19.8840048840049,0.50188679245283,113.0
120054005533.0,Regular School,High,No,2016-2017,FL,32137,0.634723086496577,0.0756802721088435,0.685294117647059,60167.0,21.0561660561661,0.406579764121664,70.0
120060004082.0,Regular School,High,No,2016-2017,FL,32333,0.571977787270397,0.040520984081042,0.464962121212121,50250.0,15.1221001221001,0.447904191616766,47.0
120072000872.0,Regular School,High,No,2016-2017,FL,32052,0.325062034739454,0.166412988330797,0.431519699812383,35773.0,15.4151404151404,0.36,39.0
120075000877.0,Regular School,High,No,2016-2017,FL,33873,0.227848101265823,0.111581920903955,0.658068783068783,33143.0,17.4664224664225,0.617199391171994,72.0
120078000888.0,Regular School,High,No,2016-2017,FL,33935,0.437960339943343,0.213130659767141,0.479245283018868,39688.0,17.0757020757021,0.666019417475728,54.0
120078002663.0,Regular School,High,No,2016-2017,FL,33440,0.411214953271028,0.0765620416544441,0.705756013745705,53138.0,17.7350427350427,0.686206896551724,49.0
120081000896.0,Regular School,High,No,2016-2017,FL,34609,0.477684489615555,0.195729537366548,0.476883561643836,35543.0,21.4468864468864,0.422113622480147,88.0
120081002604.0,Regular School,High,No,2016-2017,FL,34613,0.614336492890995,0.0671834625322997,0.689059500959693,33239.0,19.7863247863248,0.530716723549488,74.0
120081004083.0,Regular School,High,No,2016-2017,FL,34604,0.504364326375712,0.132510729613734,0.716636197440585,56182.0,19.9084249084249,0.398148148148148,75.0
120081006808.0,Regular School,High,No,2016-2017,FL,34614,0.557763061074319,0.145303326810176,0.844166014095536,49339.0,20.6898656898657,0.533239038189533,66.0
120084000905.0,Regular School,High,No,2016-2017,FL,33870,0.413383364602877,0.190757128810226,0.470941883767535,22204.0,20.6410256410256,0.50516717325228,81.0
120084000906.0,Regular School,High,No,2016-2017,FL,33825,0.292581848321591,0.220988900100908,0.343027098479841,28787.0,18.8827838827839,0.628541448058762,60.0
120084000907.0,Regular School,High,No,2016-2017,FL,33852,0.475134408602151,0.0774907749077491,0.644,32711.0,21.3003663003663,0.542635658914729,51.0
120087000918.0,Regular School,High,No,2016-2017,FL,33510,0.572823901177822,0.067494963062458,0.727598566308244,57019.0,19.1758241758242,0.478734439834025,118.0
120087000930.0,Regular School,High,No,2016-2017,FL,33612,0.306015037593985,0.145893719806763,0.763066202090592,30043.0,18.6874236874237,0.664079822616408,107.0
120087000945.0,Regular School,High,No,2016-2017,FL,33534,0.667723835081727,0.0635930047694754,0.638664323374341,61186.0,18.5164835164835,0.452496685815289,132.0
120087000960.0,Regular School,High,No,2016-2017,FL,33603,0.677113010446344,0.0338491295938104,0.571895424836601,52647.0,21.4468864468864,0.577765900587921,107.0
120087000965.0,Regular School,High,No,2016-2017,FL,33610,0.532126696832579,0.140202702702703,0.342995169082126,43207.0,23.009768009768,0.539430449069003,104.0
120087000972.0,Regular School,High,No,2016-2017,FL,33614,0.427485750474984,0.0799283154121864,0.635481635481635,38314.0,16.7094017094017,0.742982938910292,121.0
120087000999.0,Regular School,High,No,2016-2017,FL,33629,0.91683569979716,0.0372612948299953,0.873345935727788,104888.0,23.009768009768,0.162521440823328,123.0
120087001000.0,Regular School,High,No,2016-2017,FL,33563,0.395833333333333,0.140786749482402,0.412774725274725,39747.0,19.029304029304,0.521599264705882,129.0
120087001007.0,Regular School,High,No,2016-2017,FL,33616,0.640046975924839,0.0792138177486599,0.176,30407.0,22.1794871794872,0.369299935773924,87.0
120087001011.0,Regular School,High,No,2016-2017,FL,33607,0.591984231274639,0.0815394651011089,0.604651162790698,50577.0,18.980463980464,0.612046632124352,101.0
120087002325.0,Regular School,High,No,2016-2017,FL,33610,0.532538659793814,0.107574094401756,0.330897009966777,37460.0,20.1770451770452,0.5885,104.0
120087002437.0,Regular School,High,No,2016-2017,FL,33618,0.682502509200401,0.110088616223586,0.517805582290664,48358.0,20.1526251526252,0.375656324582339,114.0
120087002505.0,Regular School,High,No,2016-2017,FL,33584,0.497287522603978,0.138953942232631,0.496744186046512,39696.0,17.026862026862,0.65821325648415,129.0
